date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:48	4078/4078	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2006:10:30%20UTC	https://twitter.com/SMAN3Klaten	/Users/jeffhuen/websites/sman3klaten/twitter.com/SMAN3Klaten.3e.delayed	(from https://www.sman3klaten.sch.id/)
23:10:50	4078/4078	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2006:10:50%20UTC	https://twitter.com/SMAN3klaten	/Users/jeffhuen/websites/sman3klaten/twitter.com/SMAN3klaten.3f.delayed	(from https://www.sman3klaten.sch.id/)
23:10:52	4078/4078	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2006:10:51%20UTC	https://twitter.com/OSMAGAKlaten	/Users/jeffhuen/websites/sman3klaten/twitter.com/OSMAGAKlaten.40.delayed	(from https://www.sman3klaten.sch.id/)
23:10:53	4078/4078	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2006:10:53%20UTC	https://twitter.com/DA_smaga	/Users/jeffhuen/websites/sman3klaten/twitter.com/DA_smaga.41.delayed	(from https://www.sman3klaten.sch.id/)
23:10:55	4078/4078	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Jul%202022%2006:10:55%20UTC	https://twitter.com/pretana_berawa	/Users/jeffhuen/websites/sman3klaten/twitter.com/pretana_berawa.42.delayed	(from https://www.sman3klaten.sch.id/)
23:10:57	51445/51445	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20May%202019%2001:38:49%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/galeri/2255857875-img_8639.jpg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/galeri/2255857875-img_8639.jpg	(from https://www.sman3klaten.sch.id/)
23:10:58	4634/4634	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20May%202019%2001:38:49%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/galeri/thumb/kecil-2255857875-img_8639.jpg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/galeri/thumb/kecil-2255857875-img_8639.jpg	(from https://www.sman3klaten.sch.id/)
23:10:59	46862/46862	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20May%202019%2001:36:25%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/galeri/10256696492-img_8634.jpg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/galeri/10256696492-img_8634.jpg	(from https://www.sman3klaten.sch.id/)
23:10:59	4435/4435	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20May%202019%2001:36:25%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/galeri/thumb/kecil-10256696492-img_8634.jpg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/galeri/thumb/kecil-10256696492-img_8634.jpg	(from https://www.sman3klaten.sch.id/)
23:11:01	51033/51033	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20May%202019%2001:35:32%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/galeri/27362532587-img_8625.jpg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/galeri/27362532587-img_8625.jpg	(from https://www.sman3klaten.sch.id/)
